word,count
good,4971
great,3333
bad,3303
love,3143
boring,2861
best,2286
fun,1753
interesting,1165
worst,1156
family,1149
original,990
amazing,973
terrible,965
perfect,902
beautiful,897
funny,821
horror,788
comedy,748
disappointing,714
excellent,609
horrible,581
brilliant,495
classic,494
fantastic,427
wonderful,423
masterpiece,387
entertaining,386
awesome,333
enjoyable,321
special_effects,262
well_done,239
really_good,233
highly_recommend,162
bad_acting,161
low_budget,155
really_bad,140
good_acting,133
high_school,128
let_down,125
underrated,120
really_enjoyed,115
nothing_new,92
good_idea,91
science_fiction,76
well_acted,70
great_cast,68
soap_opera,67
top_notch,63
nothing_special,58
definitely_worth,58
worth_seeing,56
well_worth,56
above_average,48
feel_good,47
action_packed,39
rip_off,36
thought_provoking,36
romantic_comedy,35
sci_fi,35
pleasantly_surprised,34
die_hard,30
surprisingly_good,29
mind_blowing,28
absolutely_amazing,28
action_flick,27
cult_classic,25
rom_com,23
horror_flick,22
visually_stunning,19
hidden_gem,16
best_horror,11
good_fun,10
great_family,9
best_action,8
waste_money,7
wow_wow,2
