word,count
fun,4469
funny,3913
good,3836
great,3282
love,2655
best,2139
interesting,1911
amazing,1751
bad,1480
comedy,1000
perfect,923
original,763
beautiful,732
brilliant,683
family,674
excellent,629
horror,615
fantastic,521
entertaining,514
classic,503
wonderful,474
awesome,447
pleasantly_surprised,406
boring,399
masterpiece,397
enjoyable,340
worst,308
really_good,299
terrible,286
well_done,272
highly_recommend,261
special_effects,199
really_enjoyed,180
disappointing,144
horrible,137
low_budget,119
underrated,106
well_worth,98
definitely_worth,90
good_acting,88
great_cast,82
top_notch,82
high_school,81
well_acted,80
absolutely_amazing,59
really_bad,57
science_fiction,55
surprisingly_good,55
thought_provoking,51
bad_acting,50
worth_seeing,48
good_idea,46
let_down,44
sci_fi,41
mind_blowing,40
action_packed,39
above_average,32
visually_stunning,32
nothing_new,32
soap_opera,30
best_horror,26
romantic_comedy,26
horror_flick,26
nothing_special,25
good_fun,24
hidden_gem,23
feel_good,23
cult_classic,22
die_hard,19
action_flick,19
rip_off,16
rom_com,11
best_action,11
great_family,9
wow_wow,1
